"";"Shannon (B1B2)";"ASPT (B2B3)";"Polyvoltinism (B1B2B3)";"Ovoviviparity (B1B2B3)";"Richness (B1B2B3)"
"20090101";2,18994021454903;6,625;0,269540173146579;0,0188864702090196;49
"20090102";3,12284879065089;6,48;0,256901542396935;0,0215995770944116;53
"20090103";2,95392340588452;6,60714285714286;0,246655580800239;0,0252564233029933;53
"20090104";3,4514189418801;6,93333333333333;0,221387992892643;0,0273280125091438;57
"20090301";2,56733488323438;4,52631578947368;0,403899340791053;0,266252259145824;28
"20090302";2,53930210582926;4,6;0,403687350879958;0,298266546445302;32
"20090303";2,55458487903022;4,65;0,433656203749891;0,260122573750996;33
"20090304";2,27224850392013;4,375;0,403048852760675;0,293039464336141;23
"20090403";2,0538511125958;5;0,389349492860301;0,271554869101918;30
"20090404";2,266647628075;5,33333333333333;0,396851525752423;0,285646068293827;43
"20090503";4,27390767325172;6,75;0,215740852259894;0,0848323979988737;66
"20090504";4,27643919314009;6,72413793103448;0,231877366016441;0,0831702525383433;64
"20090601";1,90848272943934;5,78947368421053;0,356765538702094;0,0540820933032496;34
"20090602";2,06857907863141;5,4;0,345048695509057;0,0695569551193596;36
"20090603";1,99649859297957;5,38888888888889;0,371924707101892;0,0704640553321049;37
"20090604";2,20759249140775;6,05882352941176;0,373339803629226;0,0578848568210001;36
"20090701";2,57323890337193;6,79310344827586;0,212606568486991;0,0540041290938377;59
"20090702";2,52661154773971;7,16666666666667;0,203391520679725;0,0521143910187245;61
"20090703";3,0286830157277;7,12;0,206955928458298;0,027867216705019;56
"20090704";3,53731801605784;6,47058823529412;0,178878939075385;0,033210553219272;64
"20090801";2,45729031199571;7,32142857142857;0,210819998905489;0,0225005210346008;51
"20090802";3,13357287775678;7,06896551724138;0,192185095284937;0,0356846118954722;50
"20090803";3,5312466538554;7,14814814814815;0,175148255050031;0,0137548196976196;54
"20090804";4,27159129999763;7,10344827586207;0,162472027342642;0,0176579941541321;55
"20090901";3,56268975257573;5,72972972972973;0,277921156849284;0,150578056798756;62
"20090902";3,6657370535276;6,02941176470588;0,287841740811501;0,171129193624798;62
"20090903";3,68250147474112;5,74193548387097;0,28121478955761;0,169398772139976;59
"20090904";3,59364705215508;5,96875;0,266078467503562;0,152130228230251;59
"20091001";3,20801590685294;6,61538461538461;0,235891091085199;0,0550299438798891;50
"20091002";3,62713298841896;6,89285714285714;0,222001815139208;0,0470338493946163;54
"20091003";3,40290535951548;7,11538461538461;0,18944772717355;0,0405991262387891;64
"20091004";4,11427853633652;6,76;0,20575339396887;0,0400673088495233;59
"20091101";2,44405737539377;6;0,341559914345937;0,182886618668122;57
"20091102";2,302945126373;6,18518518518519;0,284744840601719;0,156458754773734;53
"20091103";2,08921606613572;6,13636363636364;0,359038885289902;0,211341975649226;44
"20091104";1,69303930972568;6,68;0,313199280268016;0,166833259927356;43
"20091201";2,02568449520951;4,88888888888889;0,305248302841196;0,123432910217096;45
"20091202";2,94506970113369;3,71428571428571;0,306437465645197;0,15985246421592;52
"20091203";3,17554624900097;5,09090909090909;0,374829167001911;0,223655129245765;46
"20091204";3,01417157383625;5,66666666666667;0,31922381776415;0,155098037596268;39
"20091301";3,4782029707963;7,46428571428571;0,234403450358269;0,0467446956591894;59
"20091302";4,53519215238416;7,46875;0,194501927813227;0,0239404893087788;57
"20091303";4,09019706346774;7,47619047619048;0,223487313219791;0,0256895039120858;46
"20091304";4,36580488486303;7,38461538461539;0,200144265742557;0,0069784099003168;55
"20091401";2,36795558958939;6;0,307026301693408;0,0756335266420821;53
"20091402";3,49999908317986;6;0,294860494895093;0,0905647303929134;52
"20091403";3,64766743855543;6,34782608695652;0,314511180391046;0,0790016254103073;59
"20091404";1,61197335467908;6,64;0,293771070946983;0,113793962187206;55
"20091501";2,7369830066187;7,03225806451613;0,230516575410911;0,0485120348620974;64
"20091502";2,77594492014485;6,74193548387097;0,214284257333946;0,0449883610222045;61
"20091503";3,85148275281208;6,88571428571429;0,230587286488512;0,064792665559309;74
"20091601";4,02257220251376;6,2258064516129;0,303871709301152;0,0790561564480033;80
"20091602";4,15443599372647;6,42424242424242;0,286458003620685;0,0768207776997817;70
"20091603";4,13881327684331;6,32;0,271195152344951;0,0428483660547833;71
"20091604";3,99747702278786;6,66666666666667;0,271651053007334;0,0651719590342191;55
"20091701";2,27754875615119;5,38461538461539;0,337924682161129;0,194187026149063;48
"20091702";2,28686786235917;5,1304347826087;0,345382990827007;0,215330895211358;47
"20091703";1,90618259259909;5,66666666666667;0,358547926344727;0,203154468624231;50
"20091704";2,11257427555473;5,59375;0,341248747387583;0,171203793224036;53
"20091801";3,4316705159346;6,53333333333333;0,227467190977571;0,0796865029269105;60
"20091802";2,71579492625568;6,57575757575758;0,235123971165248;0,0588408998530774;56
"20091803";3,43256265688843;6,54166666666667;0,236593874879794;0,0690952876161923;53
"20091804";3,20644386220286;6,62068965517241;0,246489745596743;0,0666687190080121;60
"20091901";4,27055269342218;6,4390243902439;0,266865455996453;0,124272601086898;75
"20091902";4,41796823386794;6,26190476190476;0,277655138929349;0,144394037558879;75
"20091903";4,21148937007496;6,15384615384615;0,279990113539588;0,138571521497002;56
"20091904";4,47256250005763;6,32352941176471;0,255760694020303;0,136425494012496;65
"20092001";2,44661870405639;5,83333333333333;0,277575045719063;0,0866628982017797;49
"20092002";3,61786996790087;6,125;0,28530902061537;0,104259439791737;51
"20092003";2,8976663095022;6;0,271987952788495;0,115895104048752;47
"20092004";3,43401380994235;6;0,280437537629589;0,0932085102711485;47
"20092101";2,75448470033648;6,3125;0,277637666331643;0,161528666796052;59
