"";"shan";"aspt";"poly";"ovov";"rich";"typo";"RR"
"I5148200120710";2,77730962362031;6,8;0,253602100383666;0,00668250278588714;56;30;"IRR T"
"I5148200180708";2,73119198640717;6,59259259259259;0,224773936555528;0,0408062926538875;57;30;"LIRR T"
"I5148200200709";2,27387811251676;6,73076923076923;0,251719182089565;0,0090603527080064;48;30;"LIRR T"
"I5148200210605";2,90215104346743;6,96969696969697;0,262512004171494;0,0204907308543033;67;30;"IRR T"
"I5148200240712";3,68742032111569;6,78571428571429;0,247542264877323;0,00703775422456275;47;30;"IRR T"
"I5149000020812";2,9473658239559;5,9;0,303465790294267;0,0688371289189389;42;56;"LIRR T"
"I5149000020913";3,00684794396291;6,93548387096774;0,241737296514729;0,0568610258824585;59;56;"LIRR T"
"I5149000030811";2,29754926653957;6,44444444444444;0,296823400808474;0,0492442469679672;51;56;"LIRR T"
"I5149000090810";2,58119110094747;6,65384615384615;0,259555498343383;0,0559686135296369;43;56;"LIRR T"
"I5149000290609";2,90067744166773;6,625;0,247696201370453;0,052269404449349;40;56;"LIRR T"
"I5149000300708";2,86494979482611;6,5;0,280292803976031;0,0757078342642692;37;56;"LIRR T"
"I5149520010605";3,98604195135564;7,44827586206897;0,208292304472288;0,00774324725129619;50;30;"LIRR T"
"I5149520060706";4,13463893780974;6,84615384615385;0,230848834627774;0,00874394869775178;51;30;"LIRR T"
"I5149520080906";3,92252010673273;7;0,232532982670291;0,0065188961293808;63;30;"LIRR T"
"I5149520090713";2,94291218255036;7,125;0,231883821163708;0,0176339663149193;52;30;"LIRR T"
"I5149520270905";4,00573790659664;7,11764705882353;0,200609471174074;0,00682061604299393;63;30;"LIRR T"
"I5149520300712";4,24000923292062;6,61538461538461;0,192925363364992;0,00769979135105681;56;30;"LIRR T"
"I5150000070709";3,49429912049156;7,08333333333333;0,278901781962644;0,0185082750555077;66;11;"LIRR T"
"I5150000200712";3,60688075817908;6,71428571428571;0,262189076974437;0,00653607130584683;54;11;"LIRR T"
"I5150000220711";3,63275928559845;5,78571428571429;0,354959801657252;0,0244403595900644;32;11;"IRR T"
"I5150000300708";3,50910895040716;6,625;0,261744562502812;0,0259029202394613;56;11;"LIRR T"
"I5150900010812";3,7002851747794;6,93103448275862;0,186694556624391;0,00775352052406633;58;31;"LIRR T"
"I5150900050913";3,47256661522546;6,92592592592593;0,173563936050258;0,0118676135146405;54;31;"LIRR T"
"I5150900060709";2,54488072772824;6,8;0,229087961086292;0,0115516785691059;43;31;"LIRR T"
"I5150900080713";3,10036780156442;7,04347826086957;0,216888753233854;0,00909449334606495;46;31;"LIRR T"
"I5150900091106";3,71890668066759;6,89285714285714;0,201596090075659;0,0264060719633127;58;31;"LIRR T"
"I5150900170708";3,30186664801898;6,82758620689655;0,178000736600055;0,00717713582925031;52;31;"LIRR T"
