nb_opecont	riviere	operateur	annee	no_riviere
20100101	ALLIER	CEMAG_VA	2010	1
20100102	ALLIER	CEMAG_MC	2010	1
20100201	ANCEDUNORD	CEMAG_VA	2010	2
20100202	ANCEDUNORD	CEMAG_MC	2010	2
20100203	ANCEDUNORD	DREAL1	2010	2
20100204	ANCEDUNORD	DREAL2	2010	2
20100301	AUSTREBERTHE	CEMAG_VA	2010	3
20100302	AUSTREBERTHE	CEMAG_MC	2010	3
20100303	AUSTREBERTHE	DREAL	2010	3
20100304	AUSTREBERTHE	BE	2010	3
20100401	BEUVE	CEMAG_VA	2010	4
20100402	BEUVE	CEMAG_MC	2010	4
20100403	BEUVE	DREAL	2010	4
20100501	CHER	CEMAG_VA	2010	5
20100502	CHER	CEMAG_MC	2010	5
20100503	CHER	DREAL1	2010	5
20100504	CHER	DREAL2	2010	5
20100601	CLEURIE	CEMAG_VA	2010	6
20100602	CLEURIE	CEMAG_MC	2010	6
20100603	CLEURIE	DREAL1	2010	6
20100604	CLEURIE	DREAL2	2010	6
20100701	COLAGNE	CEMAG_VA	2010	7
20100702	COLAGNE	CEMAG_MC	2010	7
20100703	COLAGNE	DREAL	2010	7
20100704	COLAGNE	BE	2010	7
20100801	DESGES	CEMAG_VA	2010	8
20100802	DESGES	CEMAG_MC	2010	8
20100803	DESGES	DREAL1	2010	8
20100804	DESGES	DREAL2	2010	8
20100901	DIVES	CEMAG_VA	2010	9
20100902	DIVES	CEMAG_MC	2010	9
20100903	DIVES	BE	2010	9
20100904	DIVES	DREAL	2010	9
20101001	DOUX	CEMAG_VA	2010	10
20101002	DOUX	CEMAG_MC	2010	10
20101003	DOUX	DREAL1	2010	10
20101004	DOUX	DREAL2	2010	10
20101103	EAULNE	DREAL	2010	11
20101104	EAULNE	BE	2010	11
20101201	ESCOURCE	CEMAG_VA	2010	12
20101202	ESCOURCE	CEMAG_MC	2010	12
20101203	ESCOURCE	DREAL	2010	12
20101204	ESCOURCE	BE	2010	12
20101301	GLAND	CEMAG_VA	2010	13
20101302	GLAND	CEMAG_MC	2010	13
20101303	GLAND	DREAL1	2010	13
20101304	GLAND	DREAL2	2010	13
20101403	HERAULT	DREAL	2010	14
20101404	HERAULT	BE	2010	14
20101501	JOYEUSE	CEMAG_VA	2010	15
20101502	JOYEUSE	CEMAG_MC	2010	15
20101503	JOYEUSE	DREAL	2010	15
20101601	LERGUE	CEMAG_VA	2010	16
20101602	LERGUE	CEMAG_MC	2010	16
20101603	LERGUE	DREAL	2010	16
20101604	LERGUE	BE	2010	16
20101701	LEYSSE	CEMAG_VA	2010	17
20101702	LEYSSE	CEMAG_MC	2010	17
20101703	LEYSSE	DREAL1	2010	17
20101704	LEYSSE	DREAL2	2010	17
20101801	LOT	CEMAG_VA	2010	18
20101802	LOT	CEMAG_MC	2010	18
20101803	LOT	DREAL	2010	18
20101804	LOT	BE	2010	18
20101901	OISE	CEMAG_VA	2010	19
20101902	OISE	CEMAG_MC	2010	19
20101903	OISE	DREAL1	2010	19
20101904	OISE	DREAL2	2010	19
20102001	REMEL	CEMAG_VA	2010	20
20102002	REMEL	CEMAG_MC	2010	20
20102003	REMEL	DREAL1	2010	20
20102004	REMEL	DREAL2	2010	20
20102101	ROUVRE	CEMAG_VA	2010	21
20102102	ROUVRE	CEMAG_MC	2010	21
20102103	ROUVRE	BE	2010	21
20102104	ROUVRE	DREAL	2010	21
20102201	SAULDRE	CEMAG_VA	2010	22
20102202	SAULDRE	CEMAG_MC	2010	22
20102203	SAULDRE	DREAL	2010	22
20102301	SAYE	CEMAG_VA	2010	23
20102302	SAYE	CEMAG_MC	2010	23
20102303	SAYE	DREAL	2010	23
20102304	SAYE	BE	2010	23
20102401	SEGRE	CEMAG_VA	2010	24
20102402	SEGRE	CEMAG_MC	2010	24
20102403	SEGRE	BE	2010	24
20102404	SEGRE	DREAL	2010	24
