"";"Shannon (B1B2)";"ASPT (B2B3)";"Polyvoltinism (B1B2B3)";"Ovoviviparity (B1B2B3)";"Richness (B1B2B3)"
"10200502";0,777178074856258;0,907068709836876;0,761840332159978;0,921871886497609;0,766710934041611
"20100101";1;0,914179104477612;0,957916304375239;0,956801366929418;1
"20100102";1;0,924840085287847;1;1;0,977327287276607
"20100201";0,591629452062081;0,935374149659864;0,826246358432952;0,920664751887792;0,851314819365938
"20100202";0,591472244634402;0,86734693877551;0,85051897231819;0,913875659093155;0,67928237896289
"20100203";0,619695502389678;0,842151675485009;0,875954259751161;0,957102220509368;0,728434504792332
"20100204";0,661433315707664;0,787981859410431;0,879686974355046;0,883489704824958;0,802162693536495
"20100301";0,176632931535269;0,227108868060562;0,309749019776636;0,148239794668762;0,323815922069197
"20100302";0,240479739525181;0,271897052718971;0,327314444417913;0,139500880754092;0,424588511924756
"20100303";0,700891337515448;0,403348554033485;0,183486016851853;0,129510720587505;0,357406785354384
"20100304";0,403733425501468;0,347272290314828;0,2531785528374;0,0896532040740794;0,357406785354384
"20100401";0,677231254519284;0,417628057221966;0,63439170378602;0,335745498247205;1
"20100402";0,570154344401419;0,431472081218274;0,391391002555232;0,0571549165666463;0,846671652954375
"20100403";0,535349233327229;0,186894323950162;0,620717184740468;0,000884269163430195;0,958863126402393
"20100501";0,617656549738062;0,895661431993612;0,814408159657662;0,871115815451126;0,810978308986277
"20100503";0,844417733270617;0,846557690013125;0,794611156369347;0,87930429950038;0,921646746347941
"20100504";0,807488821022265;0,92560553633218;0,860172456935857;0,920295897551252;1
"20100601";0;0,506925207756233;0,442760405055278;0,758542140931427;0,618947368421053
"20100602";0,228746772278339;0,443609022556391;0,419265176659954;0,775694226637822;0,47859649122807
"20100603";0,136347987556159;0,390350877192982;0,113208539093812;0,834565929641689;0,268070175438597
"20100604";0,164173865299222;0,469990766389658;0,125371453022122;0,823431980076144;0,513684210526316
"20100701";0,443198047783908;0,85374149659864;0,848878209901299;0,932028627881583;0,90046694519538
"20100702";0,342642878313853;0,824829931972789;0,83696963693629;0,917358559553265;0,703858441877611
"20100703";0,406304588408981;0,85374149659864;0,888117123182698;0,950626356613595;0,90046694519538
"20100704";0,733566381983617;0,973639455782313;0,904511547464679;0,951264926008788;1
"20100801";0,571100653855139;0,899234693877551;0,9626215625491;1;1
"20100802";0,692097743745383;0,921768707482993;1;1;0,826738756451217
"20100803";0,920242645275455;0,892542202066012;1;0,968044297455576;0,802162693536495
"20100804";0,887963031636176;0,962585034013606;1;0,982026821886755;0,875890882280659
"20100901";0,624721743379528;0,630787037037037;0,71819800457094;0,421439761435835;0,674553839983958
"20100902";0,578692734409403;0,482190860215054;0,703821433111983;0,40763024162162;0,614397433326649
"20100903";0,461241426504734;0,43531378600823;0,694129989434397;0,46737814044257;0,634449568879086
"20100904";0,597909681511471;0,502274904214559;0,646703883973433;0,396116994584683;0,674553839983958
"20101001";0,830323067192367;0,981344434165896;1;0,954932013461072;0,800785083415113
"20101002";0,923716877184587;0,890616475722859;0,982848776248238;0,94291160109822;0,702649656526006
"20101003";0,973540662137167;0,829035031162691;1;0,95033377162657;1
"20101004";1;0,981826241134752;0,93772654345503;0,928813127124479;1
"20101103";0,877264176573073;0,603985056039851;0,881067892135125;0,816923385732279;0,827678871346994
"20101104";0,649372996232442;0,813136635054443;0,782468767548874;0,598774535932436;0,794088008061807
"20101201";0,311447038700203;0,246913580246914;0,640686911839311;0,614663691579134;1
"20101202";0,634197794213919;0,738705738705739;0,880921007878715;0,476424789242484;1
"20101203";0,67253501524347;0,291005291005291;0,49702107284744;0,331769923407493;1
"20101204";0,701822723355431;0,492567397329302;0,731485584075301;0,390884220894115;1
"20101301";0,899121590930687;0,924287856071964;0,963615593659452;0,928907257267696;0,649597659107535
"20101302";0,951655232417562;0,879310344827586;1;1;0,722750548646672
"20101303";1;0,905835543766578;1;0,994257641651008;0,990977810290173
"20101304";1;0,729385307346327;1;0,844618218043528;0,722750548646672
"20101403";1;0,716368939117754;1;0,615532460315876;1
"20101404";0,854590322637762;0,712028887384338;1;0,708016255768633;1
"20101501";0,80281420837316;0,944142362827484;0,917715991242773;0,873715273747038;0,98804780876494
"20101502";0,921561738417015;0,793057260855006;0,943012319791922;0,915119753572146;0,83311199645861
"20101503";0,68329898422667;0,882352941176471;0,951862077496197;0,883449803248803;0,83311199645861
"20101601";0,880171363579729;0,582890070921986;0,645827231777021;0,839745133224268;1
"20101602";0,971879614337178;0,720383504071448;0,673456210795361;0,864862593798063;1
"20101603";0,661189697034777;0,733517205148411;0,664054971717398;0,838031752075176;1
